id,lastName,firstName,seat,term,score1,score2
0,Black,Hugo,1,1946,-0.9413078776798063,-1.2244402014502793
0,Black,Hugo,1,1947,-0.9313265266493015,-1.2831860345698054
0,Black,Hugo,1,1948,-0.9540296904730347,-1.3023896653455962
0,Black,Hugo,1,1949,-0.7942228656560373,-1.583520356912776
0,Black,Hugo,1,1950,-0.6861785713116074,-1.7526135363889974
0,Black,Hugo,1,1951,-0.605729918750764,-1.8408869094868274
0,Black,Hugo,1,1952,-0.5517711923406111,-1.8887041170686514
0,Black,Hugo,1,1953,-0.5028575593329071,-1.8811092336736837
0,Black,Hugo,1,1954,-0.5037034307089977,-1.8579615292250484
0,Black,Hugo,1,1955,-0.5483714584528592,-1.8268583897515764
0,Black,Hugo,1,1956,-0.46860993650245264,-1.873526880952129
0,Black,Hugo,1,1957,-0.4212684914392892,-1.8836629285612556
0,Black,Hugo,1,1958,-0.38678769019604275,-1.891750226914727
0,Black,Hugo,1,1959,-0.37247055800952267,-1.8970443052643324
0,Black,Hugo,1,1960,-0.350816347929656,-1.8978663550623691
0,Black,Hugo,1,1961,-0.3303231409721194,-1.8999807373202953
0,Black,Hugo,1,1962,-0.27646134132756567,-1.859473604839793
0,Black,Hugo,1,1963,-0.21672784092670824,-1.8258393381414155
0,Black,Hugo,1,1964,-0.15889972368525504,-1.8183349255775871
0,Black,Hugo,1,1965,-0.08453298586061739,-1.7951843905886498
0,Black,Hugo,1,1966,-0.0192435547372714,-1.7787902612270428
0,Black,Hugo,1,1967,0.0507343104739081,-1.7778765350334826
0,Black,Hugo,1,1968,0.12064266623720697,-1.7761819548743745
0,Black,Hugo,1,1969,0.09179327863659287,-1.7863722799894306
0,Black,Hugo,1,1970,0.0709202123055534,-1.7918750748768009
1,Reed,Stanley,6,1946,-0.9055586583811337,1.0669668275810522
1,Reed,Stanley,6,1947,-0.9650522653493049,1.1329938958649142
1,Reed,Stanley,6,1948,-0.9992759604435809,1.1844070056343232
1,Reed,Stanley,6,1949,-0.7824000175556096,1.3221975753752564
1,Reed,Stanley,6,1950,-0.6617937146054419,1.389968480569374
1,Reed,Stanley,6,1951,-0.5986027260865712,1.407309740853726
1,Reed,Stanley,6,1952,-0.5759874541266656,1.3922005124511405
1,Reed,Stanley,6,1953,-0.6590503838715627,1.349699568564892
1,Reed,Stanley,6,1954,-0.7048481475331959,1.3312156671138862
1,Reed,Stanley,6,1955,-0.7354563958371017,1.2912551782636195
1,Reed,Stanley,6,1956,-0.7501989817636718,1.2670307607470521
2,Frankfurter,Felix,2,1946,1.27811964406185,0.7330384004129533
2,Frankfurter,Felix,2,1947,1.2879157573417084,0.6691786136678268
2,Frankfurter,Felix,2,1948,1.3200842259314467,0.6148404988963052
2,Frankfurter,Felix,2,1949,1.3354172884536457,0.4116611405689423
2,Frankfurter,Felix,2,1950,1.3183485783791846,0.24519014365630573
2,Frankfurter,Felix,2,1951,1.3163199676325361,0.11751906788509786
2,Frankfurter,Felix,2,1952,1.3249735544985637,0.046719261519004116
2,Frankfurter,Felix,2,1953,1.3305981099131001,0.060963409690453586
2,Frankfurter,Felix,2,1954,1.3153545418938282,0.087094237756648
2,Frankfurter,Felix,2,1955,1.3475759901335207,0.10842900678523443
2,Frankfurter,Felix,2,1956,1.3616686060832772,0.206144230863311
2,Frankfurter,Felix,2,1957,1.3888065508908503,0.2995145837637613
2,Frankfurter,Felix,2,1958,1.3313203455329208,0.46819469694280336
2,Frankfurter,Felix,2,1959,1.289367054884044,0.6578077278208193
2,Frankfurter,Felix,2,1960,1.2444140179392333,0.8429398665825899
2,Frankfurter,Felix,2,1961,1.2000770502186837,1.082802398037726
3,Douglas,William,4,1946,0.7157935115644477,-2.1876984776161352
3,Douglas,William,4,1947,0.7460854734411416,-2.2233538917612123
3,Douglas,William,4,1948,0.7043988289851402,-2.306318912513683
3,Douglas,William,4,1949,0.8126586609768782,-2.454478421250354
3,Douglas,William,4,1950,0.7980795283241836,-2.4538954286938814
3,Douglas,William,4,1951,0.7522208106151985,-2.4715067375210666
3,Douglas,William,4,1952,0.6810253014034082,-2.5183879108725518
3,Douglas,William,4,1953,0.5969841912339121,-2.486743662037601
3,Douglas,William,4,1954,0.49142675076929804,-2.445844566925787
3,Douglas,William,4,1955,0.3693209323753683,-2.4185503647264794
3,Douglas,William,4,1956,0.24194576654767486,-2.4005723609775247
3,Douglas,William,4,1957,0.0977732493864211,-2.360837994882517
3,Douglas,William,4,1958,-0.031296144765208506,-2.313189582208323
3,Douglas,William,4,1959,-0.15803905688903053,-2.2531159526019717
3,Douglas,William,4,1960,-0.26355432116036115,-2.20490441060299
3,Douglas,William,4,1961,-0.3581254953844981,-2.1530589658206125
3,Douglas,William,4,1962,-0.43489624466802523,-2.0551836094869063
3,Douglas,William,4,1963,-0.5023107727431614,-1.9768177039997066
3,Douglas,William,4,1964,-0.5636018768509915,-1.9208861608812662
3,Douglas,William,4,1965,-0.6253791061165933,-1.856001639300066
3,Douglas,William,4,1966,-0.6805259240025666,-1.8119706801938393
3,Douglas,William,4,1967,-0.7294007832823617,-1.7426736638798324
3,Douglas,William,4,1968,-0.7875687980899752,-1.6418148750140917
3,Douglas,William,4,1969,-0.8719331628190471,-1.5438509594169754
3,Douglas,William,4,1970,-0.9559863929197738,-1.4626392293258679
3,Douglas,William,4,1971,-1.0446848397159856,-1.291485828925564
3,Douglas,William,4,1972,-1.1287677791566146,-1.1340009257474617
3,Douglas,William,4,1973,-1.2151601733303263,-0.9911206296193386
